job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric
7347e5a3,toy,complex,0,search,KvsAll,valid,10,,,,mean_reciprocal_rank_filtered,0.3981614419079702
7347e5a3,toy,complex,0,search,KvsAll,valid,5,,,,mean_reciprocal_rank_filtered,0.30626681966519137
7347e5a3,toy,complex,0,search,KvsAll,valid,10,,,,mean_reciprocal_rank_filtered,0.14576098240843607
7347e5a3,toy,complex,0,search,KvsAll,valid,10,,,,mean_reciprocal_rank_filtered,0.018864616341547135
7347e5a3,toy,complex,0,search,KvsAll,valid,10,,,,mean_reciprocal_rank_filtered,0.5028392896739715
7347e5a3,toy,complex,0,search,KvsAll,valid,10,,,,mean_reciprocal_rank_filtered,0.4371939142909619
7347e5a3,toy,complex,0,search,KvsAll,valid,10,,,,mean_reciprocal_rank_filtered,0.412933349609375
7347e5a3,toy,complex,0,search,KvsAll,valid,10,,,,mean_reciprocal_rank_filtered,0.3716787635733228
7347e5a3,toy,complex,0,search,KvsAll,valid,10,,,,mean_reciprocal_rank_filtered,0.43795800865243334
7347e5a3,toy,complex,0,search,KvsAll,valid,10,,,,mean_reciprocal_rank_filtered,0.41331940397210076
7347e5a3,toy,complex,0,search,KvsAll,valid,10,,,,mean_reciprocal_rank_filtered,0.45329760630196386
7347e5a3,toy,complex,0,search,KvsAll,valid,10,,,,mean_reciprocal_rank_filtered,0.35428293910595254
7347e5a3,toy,complex,0,search,KvsAll,valid,10,,,,mean_reciprocal_rank_filtered,0.45657716103650015
7347e5a3,toy,complex,0,search,KvsAll,valid,10,,,,mean_reciprocal_rank_filtered,0.42047682595909186
7347e5a3,toy,complex,0,search,KvsAll,valid,10,,,,mean_reciprocal_rank_filtered,0.03842786911430709
7347e5a3,toy,complex,0,search,KvsAll,valid,5,,,,mean_reciprocal_rank_filtered,0.40916232887758025
7347e5a3,toy,complex,0,search,KvsAll,valid,10,,,,mean_reciprocal_rank_filtered,0.4499719602252365
7347e5a3,toy,complex,0,search,KvsAll,valid,10,,,,mean_reciprocal_rank_filtered,0.42599410310797736
7347e5a3,toy,complex,0,search,KvsAll,valid,10,,,,mean_reciprocal_rank_filtered,0.4153838901344789
7347e5a3,toy,complex,0,search,KvsAll,valid,10,,,,mean_reciprocal_rank_filtered,0.41570813940205703
